filename,status,volume_rate(%),duration(s),memory(KB)
br01_059.json,partial,79.45,0.006,312
br01_060.json,partial,80.78,0.001,184
br01_061.json,partial,74.29,0.001,152
br01_062.json,partial,82.11,0.001,197
br01_063.json,partial,70.15,0.001,126
br01_064.json,partial,86.03,0.002,223
br01_065.json,partial,85.08,0.085,792
br01_066.json,partial,84.47,0.002,265
br01_067.json,partial,78.45,0.005,348
br01_068.json,partial,90.76,0.011,434
br01_069.json,partial,80.64,0.002,237
br01_070.json,partial,83.76,0.002,297
br01_071.json,partial,79.29,0.001,167
br01_072.json,partial,81.97,0.001,125
br01_073.json,partial,82.83,0.002,196
br01_074.json,partial,82.09,0.002,198
br01_075.json,partial,72.37,0.002,207
br01_076.json,partial,86.12,0.012,470
br01_077.json,partial,80.64,0.004,304
br01_078.json,partial,92.46,0.002,318
br01_079.json,partial,86.83,0.004,351
br01_080.json,partial,79.64,0.001,188
br01_081.json,partial,81.04,0.001,128
br01_082.json,partial,74.02,0.003,241
br01_083.json,partial,83.45,0.002,209
br01_084.json,partial,67.56,0.001,100
br01_085.json,partial,86.80,0.021,508
br01_086.json,partial,84.21,0.003,243
br01_087.json,partial,87.73,0.001,173
br01_088.json,partial,77.02,0.002,199
br01_089.json,partial,79.12,0.001,160
br01_090.json,partial,76.71,0.001,133
br01_091.json,partial,90.05,0.011,399
br01_092.json,partial,82.76,0.001,144
br01_093.json,partial,85.92,0.001,196
br01_094.json,partial,87.44,0.002,226
br01_095.json,partial,78.60,0.002,207
br01_096.json,partial,89.29,0.003,308
br01_097.json,partial,82.61,0.002,222
br01_098.json,partial,76.88,0.002,180
br01_099.json,partial,78.70,0.003,215
br01_100.json,partial,80.34,0.007,334
br02_001.json,partial,78.64,0.001,131
br02_002.json,partial,89.26,0.001,201
br02_003.json,partial,82.17,0.003,281
br02_004.json,partial,84.52,0.006,286
br02_005.json,partial,77.60,0.001,172
br02_006.json,partial,86.70,0.003,246
br02_007.json,partial,80.75,0.004,227
br02_008.json,partial,80.83,0.001,205
br02_009.json,partial,77.73,0.001,188
br02_010.json,partial,84.89,0.004,275
br02_011.json,partial,82.55,0.001,153
br02_012.json,partial,77.09,0.001,133
br02_013.json,partial,90.60,0.007,372
br02_014.json,partial,81.67,0.001,172
br02_015.json,partial,77.60,0.003,191
br02_016.json,partial,75.65,0.003,233
br02_017.json,partial,85.45,0.001,192
br02_018.json,partial,85.29,0.001,178
br02_019.json,partial,86.64,0.003,232
br02_020.json,partial,85.10,0.001,187
br02_021.json,partial,80.42,0.001,136
br02_022.json,partial,81.41,0.001,166
br02_023.json,partial,67.33,0.001,180
br02_024.json,partial,77.55,0.001,136
br02_025.json,partial,79.05,0.003,240
br02_026.json,partial,84.51,0.003,303
br02_027.json,partial,84.31,0.001,192
br02_028.json,partial,81.62,0.002,191
br02_029.json,partial,84.12,0.003,221
br02_030.json,partial,91.61,0.005,324
br02_031.json,partial,72.09,0.003,226
br02_032.json,partial,84.39,0.002,236
br02_033.json,partial,83.20,0.001,194
br02_034.json,partial,86.52,0.003,280
br02_035.json,partial,86.10,0.002,258
br02_036.json,partial,85.05,0.001,187
br02_037.json,partial,87.00,0.001,174
br02_038.json,partial,87.51,0.002,197
br02_039.json,partial,86.40,0.015,418
br02_040.json,partial,84.61,0.001,165
br02_041.json,partial,84.44,0.001,160
br02_042.json,partial,75.74,0.003,244
br02_043.json,partial,85.13,0.001,177
br02_044.json,partial,71.78,0.002,190
br02_045.json,partial,83.38,0.003,262
br02_046.json,partial,77.27,0.001,158
br02_047.json,partial,78.02,0.003,253
br02_048.json,partial,86.08,0.002,225
br02_049.json,partial,83.91,0.001,164
br02_050.json,partial,86.47,0.003,249
br02_051.json,partial,85.95,0.003,272
br02_052.json,partial,87.92,0.001,186
br02_053.json,partial,88.58,0.001,248
br02_054.json,partial,80.66,0.002,208
br02_055.json,partial,81.25,0.001,199
br02_056.json,partial,86.14,0.005,260
br02_057.json,partial,78.79,0.003,248
br02_058.json,partial,85.23,0.001,174
br02_059.json,partial,72.61,0.009,298
br02_060.json,partial,81.14,0.002,182
br02_061.json,partial,79.72,0.001,130
br02_062.json,partial,74.09,0.002,167
br02_063.json,partial,81.51,0.001,203
br02_064.json,partial,85.14,0.002,195
br02_065.json,partial,89.58,0.005,295
br02_066.json,partial,82.00,0.002,205
br02_067.json,partial,80.65,0.004,284
br02_068.json,partial,88.19,0.002,216
br02_069.json,partial,79.74,0.002,242
br02_070.json,partial,78.84,0.001,203
br02_071.json,partial,84.13,0.002,194
br02_072.json,partial,78.27,0.001,131
br02_073.json,partial,80.03,0.002,192
br02_074.json,partial,78.00,0.002,184
br02_075.json,partial,81.43,0.004,261
br02_076.json,partial,88.01,0.006,305
br02_077.json,partial,83.01,0.009,332
br02_078.json,partial,83.37,0.003,323
br02_079.json,partial,85.78,0.007,340
br02_080.json,partial,79.35,0.001,175
br02_081.json,partial,82.37,0.001,141
br02_082.json,partial,80.20,0.002,220
br02_083.json,partial,75.79,0.003,203
br02_084.json,partial,78.43,0.001,144
br02_085.json,partial,87.00,0.005,363
br02_086.json,partial,80.56,0.004,255
br02_087.json,partial,87.85,0.001,172
br02_088.json,partial,76.29,0.002,216
br02_089.json,partial,76.80,0.001,157
br02_090.json,partial,78.70,0.001,128
br02_091.json,partial,81.83,0.002,312
br02_092.json,partial,79.80,0.001,129
br02_093.json,partial,85.34,0.001,146
br02_094.json,partial,90.21,0.004,299
br02_095.json,partial,82.82,0.002,250
br02_096.json,partial,87.04,0.007,322
br02_097.json,partial,84.01,0.004,262
br02_098.json,partial,83.12,0.003,228
br02_099.json,partial,85.11,0.004,284
br02_100.json,partial,82.15,0.002,213
br03_001.json,partial,80.42,0.001,156
br03_002.json,partial,86.32,0.002,191
br03_003.json,partial,78.69,0.003,226
br03_004.json,partial,85.34,0.007,282
br03_005.json,partial,79.42,0.001,172
br03_006.json,partial,82.91,0.003,242
br03_007.json,partial,83.64,0.003,236
br03_008.json,partial,87.84,0.001,184
br03_009.json,partial,83.56,0.002,215
br03_010.json,partial,81.25,0.006,286
br03_011.json,partial,79.65,0.002,182
br03_012.json,partial,80.97,0.001,168
br03_013.json,partial,85.25,0.005,316
br03_014.json,partial,87.11,0.001,183
br03_015.json,partial,83.48,0.002,175
br03_016.json,partial,83.84,0.002,197
br03_017.json,partial,88.12,0.001,157
br03_018.json,partial,78.56,0.001,150
br03_019.json,partial,85.95,0.005,293
br03_020.json,partial,86.18,0.002,215
br03_021.json,partial,78.93,0.001,153
br03_022.json,partial,83.38,0.001,189
br03_023.json,partial,85.15,0.002,212
br03_024.json,partial,82.34,0.002,179
br03_025.json,partial,76.63,0.002,209
br03_026.json,partial,83.35,0.003,290
br03_027.json,partial,84.00,0.002,188
br03_028.json,partial,79.37,0.003,223
br03_029.json,partial,78.37,0.006,261
br03_030.json,partial,82.86,0.003,243
br03_031.json,partial,78.85,0.003,225
br03_032.json,partial,82.06,0.003,218
br03_033.json,partial,87.35,0.002,230
br03_034.json,partial,81.07,0.004,268
br03_035.json,partial,82.86,0.004,256
br03_036.json,partial,90.88,0.002,188
br03_037.json,partial,82.82,0.001,175
br03_038.json,partial,84.28,0.001,176
br03_039.json,partial,84.28,0.009,366
br03_040.json,partial,76.38,0.001,134
br03_041.json,partial,84.97,0.002,198
br03_042.json,partial,81.63,0.002,220
br03_043.json,partial,85.38,0.001,159
br03_044.json,partial,83.21,0.002,251
br03_045.json,partial,84.46,0.003,232
br03_046.json,partial,79.97,0.001,182
br03_047.json,partial,79.01,0.003,238
br03_048.json,partial,79.89,0.001,173
br03_049.json,partial,86.17,0.001,193
br03_050.json,partial,82.60,0.002,220
br03_051.json,partial,81.34,0.003,270
br03_052.json,partial,85.30,0.003,244
br03_053.json,partial,82.42,0.001,171
br03_054.json,partial,82.22,0.003,298
br03_055.json,partial,78.52,0.003,233
br03_056.json,partial,85.28,0.008,378
br03_057.json,partial,84.08,0.002,192
br03_058.json,partial,82.48,0.001,150
br03_059.json,partial,77.19,0.011,347
br03_060.json,partial,80.30,0.002,188
br03_061.json,partial,83.36,0.001,143
br03_062.json,partial,84.75,0.002,182
br03_063.json,partial,83.94,0.002,187
br03_064.json,partial,82.81,0.002,219
br03_065.json,partial,85.38,0.003,196
br03_066.json,partial,85.56,0.001,175
br03_067.json,partial,79.84,0.004,268
br03_068.json,partial,89.84,0.002,205
br03_069.json,partial,79.37,0.004,247
br03_070.json,partial,77.97,0.001,177
br03_071.json,partial,83.36,0.002,224
br03_072.json,partial,82.88,0.003,204
br03_073.json,partial,80.22,0.001,177
br03_074.json,partial,82.92,0.002,197
br03_075.json,partial,83.11,0.002,214
br03_076.json,partial,81.40,0.003,210
br03_077.json,partial,80.10,0.008,321
br03_078.json,partial,82.30,0.003,263
br03_079.json,partial,81.57,0.006,317
br03_080.json,partial,78.21,0.001,170
br03_081.json,partial,80.96,0.001,138
br03_082.json,partial,83.16,0.004,281
br03_083.json,partial,79.71,0.003,209
br03_084.json,partial,80.37,0.001,169
br03_085.json,partial,84.67,0.002,263
br03_086.json,partial,84.01,0.004,259
