filename,status,volume_rate(%),duration(s),memory(KB)
br01_059.json,partial,79.45,0.007,380
br01_060.json,partial,80.78,0.001,224
br01_061.json,partial,74.29,0.001,190
br01_062.json,partial,82.11,0.001,240
br01_063.json,partial,70.15,0.001,161
br01_064.json,partial,86.03,0.002,273
br01_065.json,partial,85.08,0.073,956
br01_066.json,partial,84.47,0.003,317
br01_067.json,partial,78.45,0.005,426
br01_068.json,partial,90.76,0.011,517
br01_069.json,partial,80.64,0.003,289
br01_070.json,partial,83.76,0.002,355
br01_071.json,partial,79.29,0.001,203
br01_072.json,partial,81.97,0.001,154
br01_073.json,partial,82.83,0.002,242
br01_074.json,partial,82.09,0.002,245
br01_075.json,partial,72.37,0.002,256
br01_076.json,partial,86.12,0.012,563
br01_077.json,partial,80.64,0.005,372
br01_078.json,partial,92.46,0.003,378
br01_079.json,partial,86.83,0.004,421
br01_080.json,partial,79.64,0.002,236
br01_081.json,partial,81.04,0.001,156
br01_082.json,partial,74.02,0.003,300
br01_083.json,partial,83.45,0.002,252
br01_084.json,partial,67.56,0.001,127
br01_085.json,partial,86.80,0.019,620
br01_086.json,partial,84.21,0.004,299
br01_087.json,partial,87.73,0.001,210
br01_088.json,partial,77.02,0.002,245
br01_089.json,partial,79.12,0.001,197
br01_090.json,partial,76.71,0.001,167
br01_091.json,partial,90.05,0.010,482
br01_092.json,partial,82.76,0.001,177
br01_093.json,partial,85.92,0.001,233
br01_094.json,partial,87.44,0.002,274
br01_095.json,partial,78.60,0.002,257
br01_096.json,partial,89.29,0.003,372
br01_097.json,partial,82.61,0.002,272
br01_098.json,partial,76.88,0.002,224
br01_099.json,partial,78.70,0.003,270
br01_100.json,partial,80.34,0.008,410
br02_001.json,partial,78.64,0.001,163
br02_002.json,partial,89.26,0.001,245
br02_003.json,partial,82.17,0.003,342
br02_004.json,partial,84.52,0.006,358
br02_005.json,partial,77.60,0.002,217
br02_006.json,partial,86.70,0.003,300
br02_007.json,partial,80.75,0.004,289
br02_008.json,partial,80.83,0.001,251
br02_009.json,partial,77.73,0.001,233
br02_010.json,partial,84.89,0.004,338
br02_011.json,partial,82.55,0.001,189
br02_012.json,partial,77.09,0.001,168
br02_013.json,partial,90.60,0.006,454
br02_014.json,partial,81.67,0.001,210
br02_015.json,partial,77.60,0.003,239
br02_016.json,partial,75.65,0.003,293
br02_017.json,partial,85.45,0.001,235
br02_018.json,partial,85.29,0.001,216
br02_019.json,partial,86.64,0.003,286
