filename,volume_rate(%),duration(s),memory(KB)
br01_087.json,85.85,0.001,128
br01_088.json,72.31,0.002,147
br01_089.json,81.89,0.001,127
br01_090.json,75.07,0.001,123
br01_091.json,88.44,0.010,228
br01_092.json,81.85,0.001,122
br01_093.json,85.92,0.001,130
br01_094.json,80.85,0.002,156
br01_095.json,77.68,0.001,160
br01_096.json,88.66,0.004,190
br01_097.json,85.91,0.002,161
br01_098.json,80.73,0.002,145
br01_099.json,86.59,0.003,171
br01_100.json,77.98,0.007,212
br02_001.json,79.18,0.001,119
br02_002.json,88.72,0.001,142
br02_003.json,81.75,0.003,181
br02_004.json,84.92,0.006,205
br02_005.json,75.00,0.001,143
br02_006.json,85.57,0.002,165
br02_007.json,80.24,0.003,181
br02_008.json,87.63,0.001,147
br02_009.json,77.02,0.001,144
br02_010.json,83.27,0.004,186
br02_011.json,81.56,0.001,128
br02_012.json,75.06,0.001,122
br02_013.json,90.91,0.007,223
br02_014.json,76.21,0.001,128
br02_015.json,83.62,0.002,150
br02_016.json,89.30,0.002,179
br02_017.json,87.98,0.001,140
br02_018.json,80.28,0.001,131
br02_019.json,86.72,0.002,165
br02_020.json,85.61,0.001,145
br02_021.json,83.81,0.001,121
br02_022.json,78.51,0.001,132
br02_023.json,73.68,0.001,145
br02_024.json,76.72,0.001,127
br02_025.json,83.47,0.002,171
br02_026.json,86.68,0.004,183
br02_027.json,85.06,0.001,141
br02_028.json,76.65,0.002,147
br02_029.json,81.13,0.003,174
br02_030.json,86.93,0.004,202
br02_031.json,78.40,0.002,164
br02_032.json,83.62,0.002,164
br02_033.json,88.48,0.001,143
br02_034.json,86.14,0.002,174
br02_035.json,75.69,0.002,168
br02_036.json,82.03,0.001,135
br02_037.json,84.69,0.001,135
br02_038.json,83.55,0.001,143
br02_039.json,88.94,0.013,257
br02_040.json,84.72,0.001,129
br02_041.json,82.87,0.001,130
br02_042.json,73.67,0.002,175
br02_043.json,81.77,0.001,133
br02_044.json,65.44,0.001,155
br02_045.json,82.98,0.003,177
br02_046.json,81.41,0.001,132
br02_047.json,73.26,0.003,176
br02_048.json,83.48,0.002,162
br02_049.json,86.39,0.001,128
br02_050.json,88.56,0.003,174
br02_051.json,81.47,0.002,171
br02_052.json,88.49,0.001,132
br02_053.json,77.73,0.002,163
br02_054.json,77.91,0.002,164
br02_055.json,79.24,0.001,143
br02_056.json,86.03,0.004,191
br02_057.json,72.43,0.003,176
br02_058.json,83.64,0.001,141
br02_059.json,83.33,0.006,205
br02_060.json,82.17,0.001,141
br02_061.json,82.11,0.001,120
br02_062.json,75.55,0.001,138
br02_063.json,86.18,0.001,146
br02_064.json,73.44,0.001,147
br02_065.json,85.94,0.004,195
br02_066.json,84.49,0.002,158
br02_067.json,82.23,0.004,193
br02_068.json,86.04,0.002,156
br02_069.json,79.01,0.002,167
br02_070.json,77.45,0.001,147
br02_071.json,82.48,0.001,147
br02_072.json,76.13,0.001,124
br02_073.json,81.26,0.002,157
br02_074.json,78.81,0.002,148
br02_075.json,76.67,0.003,179
br02_076.json,86.30,0.005,196
br02_077.json,84.12,0.006,205
br02_078.json,84.21,0.004,198
br02_079.json,85.83,0.005,208
br02_080.json,81.67,0.001,143
br02_081.json,82.96,0.001,122
br02_082.json,81.13,0.002,169
br02_083.json,75.30,0.002,161
br02_084.json,72.17,0.001,121
br02_085.json,85.90,0.005,210
br02_086.json,84.49,0.003,177
br02_087.json,81.65,0.001,133
br02_088.json,73.97,0.002,163
br02_089.json,74.57,0.001,132
br02_090.json,76.93,0.001,120
br02_091.json,88.60,0.004,181
br02_092.json,81.45,0.001,119
br02_093.json,85.47,0.001,122
br02_094.json,83.00,0.003,182
br02_095.json,85.14,0.002,169
br02_096.json,86.63,0.007,205
br02_097.json,83.72,0.003,180
br02_098.json,82.70,0.003,162
br02_099.json,88.76,0.003,186
br02_100.json,86.86,0.003,162
br03_001.json,75.68,0.001,130
br03_002.json,86.87,0.001,145
br03_003.json,74.64,0.003,168
br03_004.json,82.24,0.004,197
br03_005.json,78.76,0.001,143
br03_006.json,79.37,0.003,169
br03_007.json,81.10,0.003,169
br03_008.json,77.98,0.001,138
br03_009.json,81.65,0.002,162
br03_010.json,79.86,0.005,194
br03_011.json,80.88,0.001,148
